SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-24-2023,Condo/Co-op,2030 13th Ave W #202,Seattle,WA,98119,645000.0,2.0,2.0,Queen Anne,1368.0,,1978.0,,471.0,588.0,Sold,,,https://www.redfin.com/WA/Seattle/2030-13th-Ave-W-98119/unit-202/home/16867,NWMLS as Distributed by MLS Grid,2043316.0,N,Y,47.6375889,-122.3735321
PAST SALE,January-4-2023,Single Family Residential,1606 3rd Ave W,Seattle,WA,98119,1345000.0,5.0,3.0,Queen Anne,2870.0,3600.0,1912.0,,469.0,,Sold,,,https://www.redfin.com/WA/Seattle/1606-3rd-Ave-W-98119/home/134533,NWMLS as Distributed by MLS Grid,2019311.0,N,Y,47.6338506,-122.3607629
PAST SALE,April-18-2023,Condo/Co-op,348 W Olympic Pl #303,Seattle,WA,98119,899950.0,2.0,1.0,Queen Anne,1300.0,,1929.0,,692.0,979.0,Sold,,,https://www.redfin.com/WA/Seattle/348-W-Olympic-Pl-98119/unit-303/home/72034,NWMLS as Distributed by MLS Grid,2046920.0,N,Y,47.6269998,-122.3627728
PAST SALE,April-20-2023,Condo/Co-op,275 W Roy St #310,Seattle,WA,98119,415000.0,1.0,1.0,Queen Anne,598.0,,1982.0,,694.0,437.0,Sold,,,https://www.redfin.com/WA/Seattle/275-W-Roy-St-98119/unit-310/home/4921,NWMLS as Distributed by MLS Grid,2039809.0,N,Y,47.6255231,-122.3599262
PAST SALE,September-29-2023,Condo/Co-op,3030 14th Ave W #301,Seattle,WA,98119,615000.0,2.0,2.0,Queen Anne,1029.0,,1979.0,,598.0,583.0,Sold,,,https://www.redfin.com/WA/Seattle/3030-14th-Ave-W-98119/unit-301/home/21557,NWMLS as Distributed by MLS Grid,2157401.0,N,Y,47.6475453,-122.3745959
PAST SALE,August-14-2023,Condo/Co-op,2625 13th Ave W #305,Seattle,WA,98119,550000.0,2.0,2.0,Queen Anne,1019.0,,1977.0,,540.0,527.0,Sold,,,https://www.redfin.com/WA/Seattle/2625-13th-Ave-W-98119/unit-305/home/12982,NWMLS as Distributed by MLS Grid,2133701.0,N,Y,47.6436594,-122.3744894
PAST SALE,August-17-2023,Single Family Residential,1940 9th Ave W,Seattle,WA,98119,1375000.0,3.0,3.5,Queen Anne,2000.0,2558.0,2002.0,,688.0,,Sold,,,https://www.redfin.com/WA/Seattle/1940-9th-Ave-W-98119/home/134799,NWMLS as Distributed by MLS Grid,2128662.0,N,Y,47.6371412,-122.3686635
PAST SALE,December-14-2022,Condo/Co-op,348 W Olympic Pl #107,Seattle,WA,98119,460000.0,1.0,1.0,Queen Anne,651.0,,1929.0,,707.0,490.0,Sold,,,https://www.redfin.com/WA/Seattle/348-W-Olympic-Pl-98119/unit-107/home/69454,NWMLS as Distributed by MLS Grid,2017602.0,N,Y,47.6269998,-122.3627728
PAST SALE,April-10-2023,Townhouse,1519 5th Ave W #2,Seattle,WA,98119,549995.0,2.0,1.0,Queen Anne,814.0,1208.0,1956.0,,676.0,1130.0,Sold,,,https://www.redfin.com/WA/Seattle/1519-5th-Ave-W-98119/unit-2/home/12092793,NWMLS as Distributed by MLS Grid,2038442.0,N,Y,47.6329535,-122.3641493
PAST SALE,September-8-2023,Single Family Residential,3032 11th Ave W,Seattle,WA,98119,900000.0,3.0,2.0,Queen Anne,1640.0,5000.0,1922.0,,549.0,,Sold,,,https://www.redfin.com/WA/Seattle/3032-11th-Ave-W-98119/home/131586,NWMLS as Distributed by MLS Grid,2144269.0,N,Y,47.6478381,-122.3712922
PAST SALE,June-29-2023,Condo/Co-op,2034 14th Ave W #301,Seattle,WA,98119,475000.0,2.0,2.0,Queen Anne,882.0,,1979.0,,539.0,609.0,Sold,,,https://www.redfin.com/WA/Seattle/2034-14th-Ave-W-98119/unit-301/home/66540,NWMLS as Distributed by MLS Grid,2067134.0,N,Y,47.6377673,-122.3746213
PAST SALE,November-14-2022,Condo/Co-op,415 W Mercer St #301,Seattle,WA,98119,450000.0,2.0,2.0,Queen Anne,1188.0,,1963.0,,379.0,626.0,Sold,,,https://www.redfin.com/WA/Seattle/415-W-Mercer-St-98119/unit-301/home/31235,NWMLS as Distributed by MLS Grid,1997838.0,N,Y,47.6244152,-122.3629618
PAST SALE,September-6-2023,Condo/Co-op,2530 15th Ave W #301,Seattle,WA,98119,385000.0,1.0,1.0,Queen Anne,778.0,,2000.0,,495.0,716.0,Sold,,,https://www.redfin.com/WA/Seattle/2530-15th-Ave-W-98119/unit-301/home/2486,NWMLS as Distributed by MLS Grid,2131305.0,N,Y,47.6416973,-122.3757786
PAST SALE,,Multi-Family (2-4 Unit),3032 4th Ave W,Seattle,WA,98119,856500.0,2.0,1.0,,1990.0,3810.0,1910.0,,430.0,,,,,https://www.redfin.com/WA/Seattle/3032-4th-Ave-W-98119/home/130185,,,N,Y,47.6476488,-122.3618425
PAST SALE,July-6-2023,Condo/Co-op,3420 15th Ave W #102,Seattle,WA,98119,339450.0,1.0,1.0,Queen Anne,609.0,,1960.0,,557.0,376.0,Sold,,,https://www.redfin.com/WA/Seattle/3420-15th-Ave-W-98119/unit-102/home/2118806,NWMLS as Distributed by MLS Grid,2056835.0,N,Y,47.6511812,-122.375772
PAST SALE,March-6-2023,Condo/Co-op,3608 14th Ave W #302,Seattle,WA,98119,419900.0,1.0,1.0,Queen Anne,660.0,,1967.0,,636.0,295.0,Sold,,,https://www.redfin.com/WA/Seattle/3608-14th-Ave-W-98119/unit-302/home/12092944,NWMLS as Distributed by MLS Grid,2018389.0,N,Y,47.652461,-122.374587
PAST SALE,June-30-2023,Condo/Co-op,521 5th Ave W #202,Seattle,WA,98119,540000.0,1.0,1.0,Queen Anne,908.0,,1963.0,,595.0,651.0,Sold,,,https://www.redfin.com/WA/Seattle/521-5th-Ave-W-98119/unit-202/home/58089,NWMLS as Distributed by MLS Grid,2033963.0,N,Y,47.6238554,-122.3635937
PAST SALE,,Single Family Residential,1611 5th Ave W,Seattle,WA,98119,1128000.0,2.0,1.0,,1360.0,3600.0,1903.0,,829.0,,,,,https://www.redfin.com/WA/Seattle/1611-5th-Ave-W-98119/home/135003,,,N,Y,47.6339492,-122.3639903
PAST SALE,May-22-2023,Condo/Co-op,1817 11th Ave W Unit A,Seattle,WA,98119,860000.0,3.0,2.0,Queen Anne,1376.0,,1988.0,,625.0,365.0,Sold,,,https://www.redfin.com/WA/Seattle/1817-11th-Ave-W-98119/unit-A/home/67358,NWMLS as Distributed by MLS Grid,2071679.0,N,Y,47.6351955,-122.3719777
PAST SALE,March-23-2023,Single Family Residential,1933 7th Ave W,Seattle,WA,98119,1000000.0,4.0,1.5,Queen Anne,3090.0,4600.0,1903.0,,324.0,,Sold,,,https://www.redfin.com/WA/Seattle/1933-7th-Ave-W-98119/home/134960,NWMLS as Distributed by MLS Grid,2048689.0,N,Y,47.6369144,-122.3666671
PAST SALE,October-12-2023,Condo/Co-op,3053 14th Ave W #201,Seattle,WA,98119,395000.0,2.0,1.0,Queen Anne,873.0,,1977.0,,452.0,374.0,Sold,,,https://www.redfin.com/WA/Seattle/3053-14th-Ave-W-98119/unit-201/home/23892,NWMLS as Distributed by MLS Grid,2171359.0,N,Y,47.6481359,-122.3752366
PAST SALE,November-15-2022,Single Family Residential,1510 11th Ave W,Seattle,WA,98119,2300000.0,5.0,4.0,Queen Anne,3123.0,3600.0,1909.0,,736.0,,Sold,,,https://www.redfin.com/WA/Seattle/1510-11th-Ave-W-98119/home/133007,NWMLS as Distributed by MLS Grid,2017482.0,N,Y,47.6327157,-122.3714189
PAST SALE,December-1-2022,Single Family Residential,1908 7th Ave W,Seattle,WA,98119,4000000.0,5.0,4.5,Queen Anne,5704.0,7200.0,1931.0,,701.0,,Sold,,,https://www.redfin.com/WA/Seattle/1908-7th-Ave-W-98119/home/133759,NWMLS as Distributed by MLS Grid,2020873.0,N,Y,47.6362864,-122.3659419
PAST SALE,,Condo/Co-op,301 W Raye St #105,Seattle,WA,98119,443000.0,2.0,1.5,,756.0,,1987.0,,586.0,,,,,https://www.redfin.com/WA/Seattle/301-W-Raye-St-98119/unit-105/home/2066107,,,N,Y,47.6430345,-122.3612229
PAST SALE,June-29-2023,Single Family Residential,2601 12th Ave W,Seattle,WA,98119,2635000.0,5.0,3.5,Queen Anne,3700.0,6500.0,2016.0,,712.0,,Sold,,,https://www.redfin.com/WA/Seattle/2601-12th-Ave-W-98119/home/130961,NWMLS as Distributed by MLS Grid,2133475.0,N,Y,47.6431202,-122.3729345
PAST SALE,,Single Family Residential,3450 13th Ave W,Seattle,WA,98119,1140430.0,4.0,2.5,,2000.0,5998.0,2001.0,,570.0,,,,,https://www.redfin.com/WA/Seattle/3450-13th-Ave-W-98119/home/129524,,,N,Y,47.6518726,-122.3733099
PAST SALE,March-17-2023,Single Family Residential,1911 6th Ave W,Seattle,WA,98119,3075000.0,5.0,4.5,Queen Anne,3670.0,7200.0,2022.0,,838.0,,Sold,,,https://www.redfin.com/WA/Seattle/1911-6th-Ave-W-98119/home/133596,NWMLS as Distributed by MLS Grid,2033008.0,N,Y,47.6362978,-122.3653625
PAST SALE,August-11-2023,Single Family Residential,109 W Boston St,Seattle,WA,98119,900000.0,3.0,2.0,Queen Anne,1760.0,2700.0,1926.0,,511.0,,Sold,,,https://www.redfin.com/WA/Seattle/109-W-Boston-St-98119/home/134857,NWMLS as Distributed by MLS Grid,2150546.0,N,Y,47.6381977,-122.3587977
PAST SALE,,Condo/Co-op,2221 Gilman Dr W #404,Seattle,WA,98119,629950.0,2.0,2.0,,1203.0,,1977.0,,524.0,,,,,https://www.redfin.com/WA/Seattle/2221-Gilman-Dr-W-98119/unit-404/home/52679,,,N,Y,47.6389431,-122.3735927
PAST SALE,March-17-2023,Condo/Co-op,2821 2nd Ave #802,Seattle,WA,98121,820000.0,2.0,2.0,Belltown,1371.0,,1982.0,,598.0,1915.0,Sold,,,https://www.redfin.com/WA/Seattle/2821-2nd-Ave-98121/unit-802/home/7955,NWMLS as Distributed by MLS Grid,2046945.0,N,Y,47.629517,-122.370021
PAST SALE,January-17-2023,Single Family Residential,315 W Smith St,Seattle,WA,98119,1700000.0,5.0,3.5,Queen Anne,2860.0,2400.0,2013.0,,594.0,,Sold,,,https://www.redfin.com/WA/Seattle/315-W-Smith-St-98119/home/130533,NWMLS as Distributed by MLS Grid,2028694.0,N,Y,47.6412308,-122.3617114
PAST SALE,May-5-2023,Single Family Residential,1942 10th Ave W,Seattle,WA,98119,1500000.0,3.0,2.5,Queen Anne,1914.0,1676.0,2018.0,,784.0,,Sold,,,https://www.redfin.com/WA/Seattle/1942-10th-Ave-W-98119/home/113996419,NWMLS as Distributed by MLS Grid,2055888.0,N,Y,47.6371794,-122.3699001
PAST SALE,May-19-2023,Condo/Co-op,521 5th Ave W #1002,Seattle,WA,98119,950000.0,2.0,2.0,Queen Anne,1305.0,,1963.0,,728.0,936.0,Sold,,,https://www.redfin.com/WA/Seattle/521-5th-Ave-W-98119/unit-1002/home/16309,NWMLS as Distributed by MLS Grid,2070681.0,N,Y,47.6238554,-122.3635937
PAST SALE,May-16-2023,Single Family Residential,1607 1st Ave W,Seattle,WA,98119,2875000.0,4.0,4.5,Queen Anne,3352.0,3600.0,2023.0,,858.0,,Sold,,,https://www.redfin.com/WA/Seattle/1607-1st-Ave-W-98119/home/132741,NWMLS as Distributed by MLS Grid,2059129.0,N,Y,47.6338461,-122.3586045
PAST SALE,January-13-2023,Single Family Residential,1524 5th Ave W Unit B,Seattle,WA,98119,769950.0,2.0,2.5,Queen Anne,1000.0,604.0,2022.0,,770.0,34.0,Sold,,,https://www.redfin.com/WA/Seattle/1524-5th-Ave-W-98119/unit-B/home/183384709,NWMLS as Distributed by MLS Grid,2022405.0,N,Y,47.6331126,-122.3633905
PAST SALE,May-26-2023,Condo/Co-op,2048 13th Ave W #3,Seattle,WA,98119,432000.0,1.0,1.0,Queen Anne,691.0,8400.0,1998.0,,625.0,346.0,Sold,,,https://www.redfin.com/WA/Seattle/2048-13th-Ave-W-98119/unit-3/home/70931,NWMLS as Distributed by MLS Grid,2058274.0,N,Y,47.6382574,-122.3736116
PAST SALE,February-7-2023,Single Family Residential,2540 12th Ave W,Seattle,WA,98119,865000.0,2.0,1.5,Queen Anne,2291.0,4000.0,1911.0,,378.0,,Sold,,,https://www.redfin.com/WA/Seattle/2540-12th-Ave-W-98119/home/130270,NWMLS as Distributed by MLS Grid,2028565.0,N,Y,47.6418025,-122.3722221
PAST SALE,July-31-2023,Condo/Co-op,701 3rd Ave W #715,Seattle,WA,98119,490000.0,2.0,1.0,Queen Anne,794.0,,1953.0,,617.0,466.0,Sold,,,https://www.redfin.com/WA/Seattle/701-3rd-Ave-W-98119/unit-715/home/66140,NWMLS as Distributed by MLS Grid,2137838.0,N,Y,47.6261384,-122.3610304
PAST SALE,November-3-2022,Condo/Co-op,507 W Mercer St #201,Seattle,WA,98119,324000.0,1.0,1.0,Queen Anne,534.0,,1963.0,,607.0,444.0,Sold,,,https://www.redfin.com/WA/Seattle/507-W-Mercer-St-98119/unit-201/home/18217,NWMLS as Distributed by MLS Grid,2003656.0,N,Y,47.6243835,-122.3638205
PAST SALE,January-11-2023,Single Family Residential,1524 5th Ave W Unit A,Seattle,WA,98119,1410000.0,4.0,3.5,Queen Anne,1912.0,1493.0,2022.0,,737.0,34.0,Sold,,,https://www.redfin.com/WA/Seattle/1524-5th-Ave-W-98119/unit-A/home/183480421,NWMLS as Distributed by MLS Grid,2021784.0,N,Y,47.6331126,-122.3633905
PAST SALE,November-28-2022,Condo/Co-op,520 2nd Ave W #402,Seattle,WA,98119,399000.0,1.0,1.0,Queen Anne,620.0,,1992.0,,644.0,520.0,Sold,,,https://www.redfin.com/WA/Seattle/520-2nd-Ave-W-98119/unit-402/home/63961,NWMLS as Distributed by MLS Grid,2008752.0,N,Y,47.6240552,-122.3590219
PAST SALE,October-16-2023,Single Family Residential,415 W Blaine St,Seattle,WA,98119,1425000.0,5.0,2.5,Queen Anne,2860.0,2800.0,1906.0,,498.0,,Sold,,,https://www.redfin.com/WA/Seattle/415-W-Blaine-St-98119/home/132811,NWMLS as Distributed by MLS Grid,2160666.0,N,Y,47.6346029,-122.3631308
PAST SALE,November-17-2022,Condo/Co-op,507 W Mercer St #704,Seattle,WA,98119,360000.0,1.0,1.0,Queen Anne,728.0,,1963.0,,495.0,606.0,Sold,,,https://www.redfin.com/WA/Seattle/507-W-Mercer-St-98119/unit-704/home/52925,NWMLS as Distributed by MLS Grid,2009331.0,N,Y,47.6243835,-122.3638205
PAST SALE,February-15-2023,Single Family Residential,816 W Blaine St,Seattle,WA,98119,2250000.0,3.0,2.5,Queen Anne,3470.0,3600.0,1925.0,,648.0,,Sold,,,https://www.redfin.com/WA/Seattle/816-W-Blaine-St-98119/home/132378,NWMLS as Distributed by MLS Grid,2028708.0,N,Y,47.6349502,-122.368547
PAST SALE,November-10-2022,Condo/Co-op,2219 14th Ave W #202,Seattle,WA,98119,309000.0,1.0,1.0,Queen Anne,760.0,,1978.0,,407.0,432.0,Sold,,,https://www.redfin.com/WA/Seattle/2219-14th-Ave-W-98119/unit-202/home/5764,NWMLS as Distributed by MLS Grid,1999512.0,N,Y,47.6394034,-122.3753541
PAST SALE,October-6-2023,Single Family Residential,1814 4th Ave W,Seattle,WA,98119,1500000.0,3.0,1.0,Queen Anne,2780.0,4800.0,1907.0,,540.0,,Sold,,,https://www.redfin.com/WA/Seattle/1814-4th-Ave-W-98119/home/133805,NWMLS as Distributed by MLS Grid,2158199.0,N,Y,47.6352228,-122.3619924
PAST SALE,September-19-2023,Single Family Residential,827 W Fulton St,Seattle,WA,98119,910000.0,3.0,1.0,Queen Anne,1050.0,4388.0,1924.0,,867.0,,Sold,,,https://www.redfin.com/WA/Seattle/827-W-Fulton-St-98119/home/131326,NWMLS as Distributed by MLS Grid,2153521.0,N,Y,47.6456619,-122.3688185
PAST SALE,April-26-2023,Condo/Co-op,275 W Roy St #304,Seattle,WA,98119,405000.0,1.0,1.0,Queen Anne,598.0,,1982.0,,677.0,438.0,Sold,,,https://www.redfin.com/WA/Seattle/275-W-Roy-St-98119/unit-304/home/63679,NWMLS as Distributed by MLS Grid,2045022.0,N,Y,47.6255231,-122.3599262
PAST SALE,March-27-2023,Single Family Residential,2135 6th Ave W,Seattle,WA,98119,1015000.0,3.0,1.0,Queen Anne,2480.0,7200.0,1951.0,,409.0,,Sold,,,https://www.redfin.com/WA/Seattle/2135-6th-Ave-W-98119/home/134780,NWMLS as Distributed by MLS Grid,2034487.0,N,Y,47.6388061,-122.3652886
PAST SALE,September-1-2023,Condo/Co-op,530 W Olympic Pl #107,Seattle,WA,98119,518000.0,2.0,1.0,Queen Anne,864.0,,1949.0,,600.0,654.0,Sold,,,https://www.redfin.com/WA/Seattle/530-W-Olympic-Pl-98119/unit-107/home/44954,NWMLS as Distributed by MLS Grid,2150888.0,N,Y,47.6273151,-122.3644469
PAST SALE,March-9-2023,Condo/Co-op,530 W Olympic Pl #408,Seattle,WA,98119,391000.0,1.0,1.0,Queen Anne,653.0,,1949.0,,599.0,621.0,Sold,,,https://www.redfin.com/WA/Seattle/530-W-Olympic-Pl-98119/unit-408/home/53906,NWMLS as Distributed by MLS Grid,2036649.0,N,Y,47.6273151,-122.3644469
PAST SALE,May-22-2023,Condo/Co-op,348 W Olympic Pl #206,Seattle,WA,98119,855000.0,2.0,1.0,Queen Anne,1078.0,,1929.0,,793.0,811.0,Sold,,,https://www.redfin.com/WA/Seattle/348-W-Olympic-Pl-98119/unit-206/home/5820,NWMLS as Distributed by MLS Grid,2060719.0,N,Y,47.6269998,-122.3627728
PAST SALE,November-10-2022,Single Family Residential,811 W Blaine St,Seattle,WA,98119,1795000.0,3.0,3.5,Queen Anne,2480.0,2400.0,1914.0,,724.0,,Sold,,,https://www.redfin.com/WA/Seattle/811-W-Blaine-St-98119/home/134518,NWMLS as Distributed by MLS Grid,2007682.0,N,Y,47.6345337,-122.3682534
PAST SALE,January-11-2023,Single Family Residential,1524 5th Ave W Unit C,Seattle,WA,98119,779950.0,2.0,2.5,Queen Anne,1000.0,590.0,2022.0,,780.0,34.0,Sold,,,https://www.redfin.com/WA/Seattle/1524-5th-Ave-W-98119/unit-C/home/183294792,NWMLS as Distributed by MLS Grid,2021785.0,N,Y,47.6331126,-122.3633905
PAST SALE,November-14-2022,Single Family Residential,1009 W Armour St,Seattle,WA,98119,1300000.0,3.0,2.5,Queen Anne,2620.0,4080.0,1908.0,,496.0,,Sold,,,https://www.redfin.com/WA/Seattle/1009-W-Armour-St-98119/home/130538,NWMLS as Distributed by MLS Grid,2007495.0,N,Y,47.6448368,-122.3707201
PAST SALE,July-25-2023,Single Family Residential,1923 5th Ave W,Seattle,WA,98119,2600000.0,4.0,3.5,Queen Anne,3290.0,3600.0,1907.0,,790.0,,Sold,,,https://www.redfin.com/WA/Seattle/1923-5th-Ave-W-98119/home/135082,NWMLS as Distributed by MLS Grid,2136520.0,N,Y,47.6366378,-122.3640135
PAST SALE,November-1-2022,Single Family Residential,1949 3rd Ave W,Seattle,WA,98119,1015000.0,2.0,1.0,Queen Anne,1900.0,3600.0,1906.0,,534.0,,Sold,,,https://www.redfin.com/WA/Seattle/1949-3rd-Ave-W-98119/home/133330,NWMLS as Distributed by MLS Grid,1998295.0,N,Y,47.6373817,-122.3612484
PAST SALE,April-26-2023,Single Family Residential,516 W Smith St,Seattle,WA,98119,1329000.0,4.0,2.5,Queen Anne,2630.0,2568.0,1910.0,,505.0,,Sold,,,https://www.redfin.com/WA/Seattle/516-W-Smith-St-98119/home/129598,NWMLS as Distributed by MLS Grid,2045275.0,N,Y,47.6415987,-122.364337
PAST SALE,February-28-2023,Condo/Co-op,2244 13th Ave W #204,Seattle,WA,98119,385000.0,1.0,1.0,Queen Anne,605.0,,1990.0,,636.0,516.0,Sold,,,https://www.redfin.com/WA/Seattle/2244-13th-Ave-W-98119/unit-204/home/35253,NWMLS as Distributed by MLS Grid,2033928.0,N,Y,47.6397039,-122.3733337
PAST SALE,July-7-2023,Single Family Residential,2915 4th Ave W,Seattle,WA,98119,1538888.0,4.0,2.5,Queen Anne,2400.0,4902.0,1988.0,,641.0,,Sold,,,https://www.redfin.com/WA/Seattle/2915-4th-Ave-W-98119/home/130866,NWMLS as Distributed by MLS Grid,2125296.0,N,Y,47.6462995,-122.362724
PAST SALE,February-9-2023,Condo/Co-op,500 5th Ave W #502,Seattle,WA,98119,416000.0,1.0,1.0,Queen Anne,649.0,,1968.0,,641.0,490.0,Sold,,,https://www.redfin.com/WA/Seattle/500-5th-Ave-W-98119/unit-502/home/12537471,NWMLS as Distributed by MLS Grid,2027533.0,N,Y,47.6236113,-122.362813
PAST SALE,November-22-2022,Townhouse,105 W Comstock St,Seattle,WA,98119,1700000.0,3.0,2.5,Queen Anne,2168.0,,1998.0,,784.0,1076.0,Sold,,,https://www.redfin.com/WA/Seattle/105-W-Comstock-St-98119/home/16975,NWMLS as Distributed by MLS Grid,2009360.0,N,Y,47.630013,-122.3585675
PAST SALE,October-11-2023,Condo/Co-op,1909 10th Ave W #207,Seattle,WA,98119,385000.0,1.0,1.0,Queen Anne,537.0,,2002.0,,717.0,358.0,Sold,,,https://www.redfin.com/WA/Seattle/1909-10th-Ave-W-98119/unit-207/home/51294,NWMLS as Distributed by MLS Grid,2166791.0,N,Y,47.6362979,-122.3706418
